Index,Account Id,Lead Owner,First Name,Last Name,Company,Phone 1,Phone 2,Email 1,Email 2,Website,Source,Deal Stage,Notes
25,87b3AEB2447dA62,Tracy Edwards,Chad,Mata,"Carney, Cantu and Sawyer",(619)478-1204x919,6264329904,tylerjesse@hebert.info,vdowns@sims.com,https://www.guerra.info/,Partner Program,New Lead,Kind miss believe economic sense play.
26,8d8f7cDdefb910e,Adrian Price,Joy,Beltran,Woodward and Sons,+1-678-673-7748x67647,+1-509-616-6091,wendydennis@barajas.com,zmays@cherry.com,http://www.mayer-dominguez.com/,LinkedIn Outreach,Contacted,Oil to when product evening strategy American.
27,dB6C697D801662B,Clayton Ellis,Lydia,Barron,Schroeder Group,955-453-6069x659,549-858-3009x7600,lfoster@moon-hogan.org,jzhang@ruiz-wade.com,https://www.barton.com/,Organic Search (SEO),Disqualified,Consider ground win.
28,2BDCFeECDBB79AB,Blake Lin,Carly,Morton,"Berry, Wyatt and Thompson",783-562-2282,+1-918-606-6575x169,alexis37@estrada.info,vholland@butler-sloan.org,http://decker.com/,Retargeting Ads,On Hold,Young southern to soldier foot face trouble especially.
29,24debf2dEe8eDF3,Jeffrey Hayes,Jason,Herrera,Hinton-Crane,+1-333-970-7031,+1-201-514-5822x3446,rcollins@cox-valenzuela.org,alejandrachung@beasley-wolfe.com,https://www.tran.com/,Podcast,Disqualified,Full artist manager game.
30,7E6bB20532EA89b,Roy Phelps,Lucas,Fitzgerald,"Reed, Porter and Garrett",(342)932-5965x89442,737.430.1091,ehuerta@bond.net,msaunders@gill-keller.com,http://www.harper.com/,Cold Call,Proposal Sent,Mind quality those the.
31,ccF8e0d8fBB8Daf,Nicolas Winters,Grace,Potter,"Pollard, Serrano and Hancock",6888860868,(911)433-5304,jhendricks@hansen.info,stephensonkurt@white.net,https://tran-steele.info/,LinkedIn Outreach,Negotiation,Recently the be traditional.
32,CcDe2e45AfE9313,Jorge Huffman,Gregg,Johnson,Harrington Group,865-354-6948x31539,717-622-5758x990,santiagofrancisco@saunders-solis.com,spencerjermaine@garrett.com,https://hill-cuevas.biz/,Direct Traffic,Negotiation,Quickly mind performance subject who pass throughout end.
33,Df3CC92785D5BC8,Herbert Mccormick,Charlotte,Hughes,Velazquez Inc,6296898135,(413)393-1842x9426,alexcarson@rosales.com,gaycassandra@gilmore-riley.com,https://www.stewart.com/,LinkedIn Outreach,Closed Lost,Measure enter hold.
34,c04bF6a0caCEe8C,Kyle Townsend,Eddie,Shepherd,"Peterson, Mcintosh and Duran",(284)424-7909,991-910-9131,farleyjake@clark.org,dennissherman@oneal.com,https://www.mosley-mcclure.org/,Podcast,New Lead,Soon consider only effect candidate agent century bank.
35,ae1Df9F26E54D6f,Maria Foster,Alfred,Bolton,Melton PLC,(442)454-5628x4434,922.957.2221x82407,theodoreholder@sellers.com,robbinsross@sexton-watkins.com,https://duffy.com/,Webinars,Proposal Sent,Watch never management common partner than mother.
36,AeBdC072578242D,Priscilla Mann,Gail,Warner,"Good, Montgomery and Woods",449.220.1983,+1-617-432-1751x9756,jakesoto@castaneda-blanchard.com,ncervantes@solis.info,http://mcgee-stanton.biz/,Google Ads,Re-engagement,Hundred guy woman first.
37,Ea46ff9A38aF47B,Dwayne Lin,Maria,Archer,Howard-Ballard,490-675-8269,886.844.1647,gbrown@gallagher.net,lewisregina@curtis-mcmahon.com,https://www.espinoza.com/,LinkedIn Outreach,Closed Lost,Learn much executive current close include.
38,0bAd3ddED336Acb,Sean Swanson,Fernando,Cantu,Rush-Martin,+1-775-470-1047x621,001-740-256-5581x40856,crossalicia@oneill-decker.info,csimon@massey.com,https://www.melton.com/,Trade Show,Closed Lost,Memory go full score particularly day direction.
39,AF4EFA79d8dE3eF,Gordon Ruiz,Annette,Ramsey,Lin-Lawson,595-914-2510,(919)818-6874x4199,jonestami@winters.biz,wongerica@kirk.com,http://lucas-dillon.com/,Direct Traffic,Qualified,Fish clearly moment senior they range.
40,FE88BE947cF3A74,Betty Ferrell,Nicholas,Knox,Castaneda-Mcpherson,731.284.5600,+1-644-638-8164x81688,brycezimmerman@benjamin-thornton.biz,wgrimes@bentley.net,http://www.kelly.net/,Networking Event,New Lead,Husband level material kid serious store where.
41,fD3FdCbb4163bD6,Warren Santos,Jonathon,Rivers,Church-Dunn,675-626-8100,415-391-9866x1417,ycoleman@wright.com,kelleybrenda@barron-bowen.com,http://www.li.com/,Webinars,Disqualified,My question stock.
42,3fEd0Bc91FdC93c,Herbert George,Eileen,Mullen,Williamson-Weiss,737-308-8613x68510,(428)260-4038,courtney50@farley.com,rwoods@ochoa-beltran.org,http://livingston.biz/,Purchased List,Re-engagement,Receive society sign keep.
43,FeCAcDEEeD6A0c4,Jennifer Blevins,Kerry,Hampton,Mclean-Huang,338.428.5764x2810,+1-603-727-0592x3524,lonniebradford@gregory.org,connie75@barnett.com,https://haley.com/,Cold Email,Re-engagement,Too first establish available another prove site.
44,422dcDabc79d4AE,Leroy Daugherty,Veronica,Bird,Hess LLC,420.757.7936,254-398-4561,colinlynn@peck.com,tmayer@brennan.com,https://www.hanna.info/,Retargeting Ads,Negotiation,Including share including open story heavy.
45,CB10FbDc2824158,Melanie Burns,Beth,Sampson,Terrell PLC,928-787-1632x270,(491)356-9843x8345,gilbertclayton@stone.com,eduardoarmstrong@pittman-holloway.biz,https://cook-ellison.info/,Chatbot,Closed Won,Mouth car Republican compare responsibility miss.
46,699BCBDF5ABc6E8,Mackenzie Lee,Chelsey,Walsh,"Davidson, Odonnell and Short",345.399.7387x26399,4789076521,russell57@vaughn.com,valerie44@odom.com,http://www.welch.biz/,Cold Call,Closed Won,Daughter let draw statement especially.
47,c2B7a4cDe2b4cBC,Brittany Taylor,Tom,Santana,Rollins-Stanton,001-740-514-4271x34158,731.583.0166x345,brent06@shepard.com,cjenkins@cisneros-espinoza.com,http://paul.com/,Other,Re-engagement,Mother what agree maybe above.
48,444Dd84e7ECEC77,Bob Cunningham,Cristian,Mcclure,King-Lee,+1-373-994-7902x8449,+1-328-746-3283x687,prich@chavez.net,jason61@holmes.net,https://mullen.net/,Referral,On Hold,Process form identify course.
49,69c947a73d64ebA,Jesus Nelson,Rita,Schultz,Levy PLC,843.331.3124x233,8927335497,chelsey56@cisneros-cowan.com,briannamcfarland@gomez.biz,https://castaneda.com/,Google Ads,Contacted,Look admit source threat degree building author.
50,29Db24dCDfEdBCC,Latoya Beck,Eugene,May,Saunders-Mcdowell,458-704-8204x9179,430-814-1446,curtis83@mendez.com,dhooper@ramsey.com,https://www.guerra.com/,Referral,Disqualified,Various trouble how plant future.
51,e35Ac13a9eAA8f2,Ross Hood,Peter,Obrien,"Martin, Cooley and Conway",341.496.1894x567,795-465-4854x361,mpaul@boyle.com,andresbutler@arroyo.net,http://pacheco.org/,Google Ads,Qualified,These yeah attack wrong all box than.
52,0549BeaA2313498,Paul Lara,Craig,Clarke,"Hanna, Briggs and Barnes",608.261.2182x9687,+1-810-886-2810x34324,dawnblake@pugh.com,obrooks@nash.com,https://cuevas.info/,Podcast,Qualified,At accept trial send.
53,fA4ECd15eb281F8,Juan Lowery,Rachel,Eaton,Daniels-Moon,(358)813-8423,230.277.0123x09169,simpsonsheila@gentry-hawkins.biz,amoore@walls.com,http://bradley.com/,Content Marketing,Closed Lost,Race amount both kid last.
54,C03491Db1c7BeF3,Vanessa Boyle,Sarah,Barrera,"Tran, Haney and Torres",+1-831-983-1785x689,+1-467-255-1894x21709,claudia35@ortiz.net,ricky59@dean.com,https://wolfe.com/,Cold Email,Negotiation,Site beautiful choose government go.
55,7AaCddcfeEFC467,Steve Munoz,Devin,Hess,"Cortez, Coffey and Martin",591.429.4983,001-752-753-9075,jim74@rich.com,oscarrollins@holland-larson.net,http://rios.com/,Organic Search (SEO),New Lead,Operation total end space.
56,6D67a25aAAab7C0,Connie Cervantes,Hector,Rivera,Bernard-Carney,317-243-6638x7314,(860)448-8592x801,hensleyeduardo@coleman.com,tim20@moses-maynard.net,https://www.yoder.com/,Social Media,Closed Won,Family nation inside appear miss.
57,D53411119C1A5Ac,Gary Calderon,Todd,Valentine,Dalton and Sons,+1-955-979-8896x185,(250)565-2329,sheliaharper@ruiz.com,tylerdarrell@hendrix-cummings.biz,https://www.kirby.net/,Chatbot,Re-engagement,Major dinner room get activity.
58,1bEAEdDA3Eca3C2,Sierra Berry,Rose,Kirby,"Hester, Fletcher and Doyle",(424)324-1309,341.825.0986x5913,terri89@boyd.com,brianayoder@pierce.com,https://hughes-robertson.net/,Podcast,Qualified,Deep economy chance source.
59,bBed9e5aBBC011F,Morgan Mercer,George,Downs,"Haas, Dalton and Orozco",239-436-4613x6520,232-647-8609x97025,jessica29@schmidt.com,ghaas@barton.info,https://barker-moody.com/,Google Ads,Closed Won,Responsibility before sister full lay leave west.
60,C12C0a43A8dbaC8,Jodi Allison,Jackson,Soto,"Mcmillan, Pineda and Mcguire",(856)659-0018,778.881.0815,dean95@williamson.com,reginagilbert@rivera-robertson.com,http://arellano.com/,Trade Show,On Hold,Choice scientist audience.
61,5ebdAC98BcE4B55,Marco Pratt,Gloria,Watkins,"York, Pena and Chambers",001-993-334-2199x152,001-477-519-8904x85550,jermaineleon@clayton-barber.com,vross@monroe-fisher.com,https://www.ochoa.com/,Cold Call,Contacted,Space put several central much those investment else.
62,b2CFb30616F7A6F,Paige Morrison,Tanya,Hendricks,Hubbard Ltd,479.432.5160,6744707600,petersenjody@hendricks.com,randytate@espinoza-blair.com,https://www.jackson-gonzales.com/,Retargeting Ads,Closed Won,Mention owner stop ahead factor speech.
63,fD3Ed2683A33Ec1,Derek Sharp,Karina,Hubbard,Rodgers-Nolan,(892)708-1412,001-619-739-7786x3070,stanleyanna@ho.com,asingh@acevedo.com,http://brandt.biz/,Facebook Ads,New Lead,High moment mind ten political head explain chair.
64,4DFCdb190D6F5e2,Ruben House,Fernando,Nixon,"Woodward, Oneal and Sanders",848.437.1167,(809)340-7163,marie26@livingston-buckley.com,cole90@gibbs.info,http://www.allison.net/,Website Form,Closed Won,Off boy rise.
65,Db033e1eb4eb65c,Joann May,Bob,Carson,Patrick PLC,765.709.1465x6302,503-968-5679x3983,isabella95@myers.com,lawsonevan@donaldson.com,https://robinson.net/,Networking Event,Closed Lost,Debate large million ball natural owner.
66,Accd0949D6aa9A9,Carmen Monroe,Samantha,Schneider,Camacho-Bell,+1-557-240-9942x43570,4784328677,hensonconnie@mueller.info,glenkirk@wu-burns.net,http://www.moss.info/,Cold Call,Closed Won,Well real dog campaign ask.
67,Efc9cFFb2cceB58,Jerome Roy,Tammie,Castillo,"Haynes, Ibarra and Meza",(799)283-9649x306,+1-522-226-4623x0573,fitzgeraldmarcus@garza.com,dtanner@atkinson.info,http://www.patel.info/,Organic Search (SEO),Closed Won,Itself against paper much much.
68,D2FCE39fC51EabD,Edgar Vaughan,Dale,Warren,"Christensen, Skinner and Marquez",001-682-406-1154,582.539.7977x571,jonathonadkins@conner.com,harry44@oneill.com,http://www.dickerson.org/,LinkedIn Outreach,Re-engagement,Court just black technology name run TV.
69,ade26a40C896249,Stacey Schmitt,Omar,Lara,Mcmahon-Boyer,(336)606-6401x896,001-603-805-8990,conwaybobby@abbott.org,mikewilliams@wong.info,http://singh.org/,Purchased List,Contacted,Service though law major yes.
70,A2CF23A886222Ee,Wanda Harrell,Leslie,Melendez,Bell LLC,001-898-555-8732,+1-666-582-3598x1516,crose@rowe.com,huertagavin@pierce-whitaker.org,https://www.ellison-horton.com/,Google Ads,Re-engagement,Job special ten green seek police.
71,Dfd0b4EFef38A6C,Dominique Coleman,Troy,Lang,Villegas-Case,001-506-331-7508x7172,9569481124,suttonevan@bush.org,stevensongene@carpenter-patrick.com,http://www.blevins.info/,Direct Traffic,Negotiation,Adult news face few hear today property painting.
72,de44F9E89C79f43,Natalie Hunter,Evan,Larsen,"Hubbard, Tucker and Fields",8312687666,615-353-0116x3092,ochoalevi@osborn.info,qbowman@page.com,http://miller-nichols.com/,Retargeting Ads,Disqualified,Life instead condition within figure these like.
73,e4e93CA2a98ace6,Kirk Salinas,Clifford,Good,Vincent Inc,+1-395-686-7745x320,314.466.4967,nancy89@robbins.com,vickie14@woodard.com,http://david.info/,Cold Call,Proposal Sent,Light win opportunity begin bill past.
74,086044aEbfEF86F,Hector Fitzgerald,Nicole,Giles,"Bonilla, Myers and Perez",573.560.4098,527-815-2921x233,gordon08@barron.info,judithharding@church.com,https://www.castro-dougherty.com/,Networking Event,Proposal Sent,Professor sound relationship evening realize.
75,3DAFAcE7ffCCfbf,Gwendolyn Stout,Nichole,Skinner,Pitts-Nielsen,+1-352-776-0179x43707,225.865.0336,rcruz@hess.com,george92@thornton-rush.com,http://sampson-dalton.info/,Website Form,Closed Lost,Wait half ready every.
76,768f6119D75FCcc,Collin Hatfield,Christopher,Munoz,Santos-Melton,915.598.5095x682,(354)762-2176x65569,zhangandre@benjamin-cordova.net,reynoldsnathaniel@reese.com,http://www.brandt.com/,Facebook Ads,On Hold,About woman size really.
77,AECAfAf5c5bA3ef,Claire Beasley,Wyatt,Burch,Oneill Ltd,(514)321-1897,897.679.0760x2989,phelpsclinton@cantrell.org,marcusandersen@giles.com,https://harmon.com/,Referral,Re-engagement,Hundred agent full cup fish catch.
78,5d6cDD243B00cd1,Philip Hudson,Ross,Morrison,Harrell LLC,723-528-5470x9123,+1-403-248-8012x675,devoncarr@cowan.org,mullenallen@avila.com,http://www.mata-nichols.com/,Google Ads,Disqualified,Age sit argue provide party western feel.
79,bb3A0Dd8cdd2B15,Neil Patton,Jerry,Baldwin,Good Inc,+1-517-615-6074x710,679-525-8023,francesrubio@abbott.com,miranda53@nichols.org,http://www.holland.net/,Chatbot,New Lead,Institution quickly a late report.
80,3F3EC2aCA2cdfDA,Keith Vega,Shawn,Jennings,Dunlap LLC,6527391701,+1-680-532-7644,duanecisneros@hobbs-carr.com,jeandickerson@lane-houston.com,http://www.dickson-mcmillan.info/,Other,Proposal Sent,Card away whether center film.
81,Cbb2C8D2FfA7aEe,Renee Shepard,Brittany,White,"Trevino, Moody and Gomez",814-469-9660x21891,(254)626-8091x639,bradfordcharlotte@shields.info,dillonvillanueva@bell-hunt.com,https://www.mccoy.com/,Webinars,Closed Won,Often learn discover news.
82,daBdd6F61D55da4,Rita Howard,Shannon,Yang,"Werner, Frazier and Ali",+1-484-710-5860x10488,(346)592-0155,potterseth@gillespie.org,dcollier@schmidt-mullins.com,http://mueller-porter.com/,Other,Proposal Sent,Cultural wide generation majority will population.
83,62cC1E5Ac2Eb532,Cesar Warren,Ryan,Estrada,"Hanson, Hebert and Garcia",4839685105,(543)721-7852x2229,lwagner@zamora.net,qmorrison@gibson.biz,http://cunningham.com/,Direct Traffic,Disqualified,By space military much suffer successful window into.
84,A727DccF6AEabf4,Kara Hull,Meghan,Beasley,Moss-Reyes,(395)627-1922,+1-689-885-6442x740,phamdeborah@dougherty.com,hayden45@boone-choi.com,http://www.keller.com/,Podcast,Re-engagement,Often pick born ever attack office.
85,aAa7Ce72A9A37b2,Kristin Dunn,Brendan,Madden,"Casey, Garner and Hatfield",(726)649-3690,3672967650,terrellkiara@guerra.net,harrellkaren@contreras.com,http://www.mcmillan.com/,Retargeting Ads,Proposal Sent,Arm north health.
86,Cb9fFdAb91f12D9,Nicole Allen,Mallory,Orr,"Paul, Ali and Rasmussen",9326573179,816-930-7673,landrade@zamora.net,collin06@shaffer.biz,https://www.harrington-aguirre.com/,Podcast,Closed Lost,Something participant policy cultural leave dark almost.
87,29Cf1eb7dbbb9a5,Collin Lozano,Arthur,Odom,Hebert LLC,843-760-4717x66189,(470)984-2376,terrellkelli@dillon-pierce.net,jeremyhunt@rojas.com,http://kelley.com/,LinkedIn Outreach,New Lead,Analysis again others support.
88,D0A1fE736AB17D8,April Cantu,Gloria,Hess,Strickland-Colon,001-495-929-1716x6067,(821)419-3023x9172,jimmynichols@mcbride.net,cowen@hensley.com,http://www.duran-harvey.org/,Other,Contacted,Figure effect board.
89,98DcC1B7c36e4b6,Steven Barrett,Kristy,Estrada,Oneal Ltd,497.324.5305x6694,924-666-4580,alex63@king.com,aewing@holloway.info,http://contreras.com/,Podcast,New Lead,Brother at size say teach where.
90,F8Df3c21E3e89b4,Sydney Dominguez,Fernando,Franklin,Blackwell Group,(897)306-4055x57325,001-512-223-5929x35625,bwalter@deleon-leach.biz,gail24@fields.org,http://roth-cross.com/,Content Marketing,Closed Lost,Home bed production between TV reduce similar.
91,00becCCeaBF92F0,Connie Watkins,Don,Leon,"Patton, Arias and Mullins",+1-294-739-4807,001-648-311-0953x9891,earlosborn@wilkerson-grant.com,gutierrezkristina@leon-ashley.com,http://lynn.biz/,LinkedIn Outreach,New Lead,Stage far evening tree marriage out.
92,e2d5FAd408f4ea4,Eileen Dyer,Evan,Parks,"Bolton, Carr and Hart",808.836.3447x114,993-781-1142x1578,lyonsluis@le-bailey.com,evanstevens@avery.info,http://chapman.com/,Chatbot,Negotiation,Response book edge window.
93,8FcF40F52bE31bA,Wayne Aguirre,Jake,Fitzpatrick,Flowers-Oneal,606-665-0901x4135,656.474.3975x8332,anna12@butler.com,maurice95@steele.com,http://lyons-york.com/,Partner Program,Closed Won,Level serious network at early.
94,610824C8dD7dCcC,Lorraine Blankenship,Sara,Davenport,Dorsey-Benitez,567.448.9439x88694,250-376-2854x94663,brendandalton@leonard-gamble.org,christinapark@rangel-moody.biz,https://beck.com/,Networking Event,Closed Won,Option imagine both civil vote.
95,1cf9289cE937dA0,Jackson Short,Clifford,Herring,"Bond, Archer and Stephens",(529)623-8110x8765,001-943-221-5755,rmartinez@mcneil-bowman.com,qpace@lamb.net,http://cohen-hebert.com/,Networking Event,Contacted,Space live debate beautiful treatment significant benefit.
96,09a32fB43F8B4Ae,Dan Griffith,Pam,Turner,"Huang, Hoffman and Juarez",712-398-7502,+1-899-266-5862,carterdevon@ponce-burgess.biz,vernon72@howard.biz,https://www.gray.com/,Content Marketing,New Lead,Letter history degree sign.
97,5B6A71De6fA42eC,Carolyn Farrell,Clayton,Blackburn,Berry-Rush,+1-394-835-8635,001-265-207-4751x522,oandrews@estes.info,barnesderrick@haas-mcneil.com,http://schaefer.com/,Chatbot,Closed Lost,Plant area more own two her impact.
98,c083Bfab9Aee4C6,Debra Roy,Jeffery,Larsen,Pope and Sons,001-826-593-7127x747,(946)846-4891x4171,melvinweber@leach.net,gainesashley@marshall.com,http://www.griffith-tucker.com/,Trade Show,Qualified,Improve doctor human bed region bag mission thus.
99,86Eec1330eb6f93,Lacey Yoder,Xavier,Miller,Hurley-Johnston,+1-462-852-1493x914,603-488-5507x5391,steve94@johnson-newman.biz,stephaniepark@hart.com,https://bass.biz/,Cold Call,Negotiation,Fast remain imagine street discuss above politics begin.
100,aEf8EfaE37F78cA,Katelyn Terry,Brady,Guerra,Norton LLC,(452)667-7703x7319,(861)447-8213x0817,melvinwhitaker@carlson-ortega.com,keith56@farrell-steele.com,https://reid.com/,Podcast,New Lead,Team listen chance writer.
101,8d9EEE7E9efe295,Max Roman,Lacey,Gamble,Guzman and Sons,001-871-489-5069x6104,001-361-966-3449x897,jshepherd@camacho.biz,mpearson@hurley-hays.com,https://hahn.com/,Podcast,Re-engagement,Perform total nation create several later.
102,6A58677476Ba0E7,Gavin Reilly,Victoria,Oliver,"Keller, Brandt and Maddox",(369)887-7670x040,703.520.5995x395,howardjensen@savage.com,alexanderelijah@jimenez.org,http://www.dalton.com/,Chatbot,On Hold,Risk reveal take fire bad care.
103,82bB74E20bcc24C,Heather Frey,Nina,Sosa,Lawrence PLC,(990)679-4909,825-935-0453x302,melissa10@mejia.com,tammiemccoy@bell-sanford.com,http://patrick-mccoy.com/,Google Ads,Negotiation,Control long dream human everything think wish.
104,cBb574CccB85D1B,Eduardo Hooper,Arthur,Conrad,Hudson-Sparks,(346)864-9992,(509)280-6450x4015,karina49@glenn.com,hcalderon@gould.biz,https://tyler.biz/,Direct Traffic,Qualified,Born politics street rise meet.
105,0412EaE3EcEaC64,Carrie Mathis,Julie,Ross,Romero PLC,001-370-435-8369x795,4472689789,hooperdarius@graves.biz,karibaldwin@hodges-ellison.com,https://www.singleton-miller.com/,Retargeting Ads,New Lead,Either sound do.
106,190CcE9e7F75ce2,Anne Mahoney,Derrick,Henderson,Carr-Erickson,973.657.8939x553,001-553-874-9593x8613,ethan94@cuevas-proctor.info,mike52@fry.com,http://powers.biz/,Other,Closed Lost,Young take middle care market others as.
107,ED9AF7BfBdeAfa9,Albert Rangel,Francisco,Webster,Hall Inc,001-761-688-1684x848,994-705-4425x1496,alan98@cruz.com,jeffsalazar@perkins-ramirez.info,http://hanson-poole.com/,Webinars,Proposal Sent,Election nearly natural southern issue.
108,60bB9e1A6A68eB0,Tim Pittman,Whitney,Werner,Pham Ltd,621.334.1977,6743962172,smallvirginia@michael.com,wyattmacias@abbott.com,http://www.stuart.com/,Content Marketing,Disqualified,Dog situation owner drug budget worker use.
109,DCAAeed64fe88EB,Cindy Phillips,Jeanette,Whitaker,"Knight, Hayden and Harper",001-547-949-0764,(987)687-3860,felicia19@koch.com,starkannette@acosta.biz,https://guerrero-dougherty.com/,Other,Negotiation,Determine development night push.
110,E9BD9BAdDE51FfA,Oscar Carson,Beverly,Roy,"Rhodes, Lin and Cordova",919-424-0807,(465)751-2649x9889,tarahuerta@harrington-potts.net,brennanmelissa@mclaughlin-parrish.com,http://www.blanchard.biz/,Networking Event,New Lead,Report yourself black production yes suddenly some.
